[   1 / 132 ] flow_distance =   230.408528125982741 | volume_distance =    46.081428001707351 | sum_distance =   276.489956127690107 | exercise(cycle,model) = exerc_1 | exerc_6
[   1 / 132 ] flow_distance =   298.310285104189006 | volume_distance =    45.241671546578274 | sum_distance =   343.551956650767295 | exercise(cycle,model) = exerc_1 | exerc_3
[   1 / 132 ] flow_distance =   281.362936345698131 | volume_distance =    93.139471133272977 | sum_distance =   374.502407478971122 | exercise(cycle,model) = exerc_1 | exerc_7
[   1 / 132 ] flow_distance =    73.055713200305263 | volume_distance =    17.271279019532592 | sum_distance =    90.326992219837848 | exercise(cycle,model) = exerc_1 | exerc_2
[   1 / 132 ] flow_distance =   275.500503394694874 | volume_distance =    50.585361777617656 | sum_distance =   326.085865172312538 | exercise(cycle,model) = exerc_1 | exerc_5
[   1 / 132 ] flow_distance =   216.526611767808333 | volume_distance =    22.887554534763634 | sum_distance =   239.414166302571971 | exercise(cycle,model) = exerc_1 | exerc_1

[   2 / 132 ] flow_distance =   203.165411980649537 | volume_distance =     1.797262247704859 | sum_distance =   204.962674228354388 | exercise(cycle,model) = exerc_1 | exerc_4
[   2 / 132 ] flow_distance =   182.459610846924249 | volume_distance =     2.189231869664923 | sum_distance =   184.648842716589172 | exercise(cycle,model) = exerc_1 | exerc_6
[   2 / 132 ] flow_distance =   322.824018583573263 | volume_distance =     2.659479861402064 | sum_distance =   325.483498444975339 | exercise(cycle,model) = exerc_1 | exerc_3
[   2 / 132 ] flow_distance =   256.696130588275594 | volume_distance =     3.250298588298558 | sum_distance =   259.946429176574156 | exercise(cycle,model) = exerc_1 | exerc_7
[   2 / 132 ] flow_distance =    81.419364861249989 | volume_distance =     1.374324693897069 | sum_distance =    82.793689555147054 | exercise(cycle,model) = exerc_1 | exerc_2
[   2 / 132 ] flow_distance =   222.931500110936327 | volume_distance =     1.485589183625401 | sum_distance =   224.417089294561720 | exercise(cycle,model) = exerc_1 | exerc_5
[   2 / 132 ] flow_distance =   193.036746047530244 | volume_distance =     1.494135359236077 | sum_distance =   194.530881406766326 | exercise(cycle,model) = exerc_1 | exerc_1

[   3 / 132 ] flow_distance =   169.200854189683383 | volume_distance =     8.398893329886508 | sum_distance =   177.599747519569888 | exercise(cycle,model) = exerc_1 | exerc_4
[   3 / 132 ] flow_distance =    52.160072272199471 | volume_distance =     3.811676733540828 | sum_distance =    55.971749005740300 | exercise(cycle,model) = exerc_1 | exerc_6
