[   1 / 132 ] flow_distance =   109.597206082094942 | volume_distance =    33.754522314331510 | sum_distance =   143.351728396426438 | exercise(cycle,model) = exerc_1 | exerc_4
[   1 / 132 ] flow_distance =    23.964015523437361 | volume_distance =     2.527211992744418 | sum_distance =    26.491227516181780 | exercise(cycle,model) = exerc_1 | exerc_6
[   1 / 132 ] flow_distance =   208.314155993993467 | volume_distance =    55.557621828167470 | sum_distance =   263.871777822160936 | exercise(cycle,model) = exerc_1 | exerc_3
[   1 / 132 ] flow_distance =    68.898148561727368 | volume_distance =    60.103736565243885 | sum_distance =   129.001885126971246 | exercise(cycle,model) = exerc_1 | exerc_7
[   1 / 132 ] flow_distance =    96.113151355927542 | volume_distance =    45.038018574738082 | sum_distance =   141.151169930665617 | exercise(cycle,model) = exerc_1 | exerc_2
[   1 / 132 ] flow_distance =    78.228514285503991 | volume_distance =    30.474747723604175 | sum_distance =   108.703262009108158 | exercise(cycle,model) = exerc_1 | exerc_5
[   1 / 132 ] flow_distance =   103.990812353453023 | volume_distance =    68.484586793899680 | sum_distance =   172.475399147352704 | exercise(cycle,model) = exerc_1 | exerc_1

[   2 / 132 ] flow_distance =   101.582705990324769 | volume_distance =     1.797262247704859 | sum_distance =   103.379968238029633 | exercise(cycle,model) = exerc_1 | exerc_4
[   2 / 132 ] flow_distance =    22.811696831026754 | volume_distance =     8.783545787003641 | sum_distance =    31.595242618030397 | exercise(cycle,model) = exerc_1 | exerc_6
[   2 / 132 ] flow_distance =   174.685415062360846 | volume_distance =     7.199396907930763 | sum_distance =   181.884811970291622 | exercise(cycle,model) = exerc_1 | exerc_3
[   2 / 132 ] flow_distance =    70.446725827944036 | volume_distance =     1.465134550786368 | sum_distance =    71.911860378730410 | exercise(cycle,model) = exerc_1 | exerc_7
[   2 / 132 ] flow_distance =    88.150497737204617 | volume_distance =     4.460317465784547 | sum_distance =    92.610815202989158 | exercise(cycle,model) = exerc_1 | exerc_2
[   2 / 132 ] flow_distance =    64.844012116804436 | volume_distance =     2.304303159113733 | sum_distance =    67.148315275918165 | exercise(cycle,model) = exerc_1 | exerc_5
[   2 / 132 ] flow_distance =    75.664244999640900 | volume_distance =    14.504736740603315 | sum_distance =    90.168981740244220 | exercise(cycle,model) = exerc_1 | exerc_1

[   3 / 132 ] flow_distance =    84.600427094841692 | volume_distance =     8.398893329886508 | sum_distance =    92.999320424728197 | exercise(cycle,model) = exerc_1 | exerc_4
[   3 / 132 ] flow_distance =     9.177425204320512 | volume_distance =    38.556691746602738 | sum_distance =    47.734116950923251 | exercise(cycle,model) = exerc_1 | exerc_6
[   3 / 132 ] flow_distance =   136.437516742572740 | volume_distance =     3.387348589275687 | sum_distance =   139.824865331848429 | exercise(cycle,model) = exerc_1 | exerc_3
[   3 / 132 ] flow_distance =    34.880300296672843 | volume_distance =    10.325366326973370 | sum_distance =    45.205666623646209 | exercise(cycle,model) = exerc_1 | exerc_7
[   3 / 132 ] flow_distance =    58.875420483850206 | volume_distance =     2.403714966037122 | sum_distance =    61.279135449887328 | exercise(cycle,model) = exerc_1 | exerc_2
[   3 / 132 ] flow_distance =    61.326849381912247 | volume_distance =     7.844308054425787 | sum_distance =    69.171157436338035 | exercise(cycle,model) = exerc_1 | exerc_5
[   3 / 132 ] flow_distance =    39.446762591192773 | volume_distance =     3.424230002837221 | sum_distance =    42.870992594029993 | exercise(cycle,model) = exerc_1 | exerc_1

[   4 / 132 ] flow_distance =    94.696883003258677 | volume_distance =     4.786787024771696 | sum_distance =    99.483670028030375 | exercise(cycle,model) = exerc_1 | exerc_4
[   4 / 132 ] flow_distance =    38.738111769586467 | volume_distance =     6.982928966456450 | sum_distance =    45.721040736042916 | exercise(cycle,model) = exerc_1 | exerc_6
[   4 / 132 ] flow_distance =   182.857568352907720 | volume_distance =    15.459109035650918 | sum_distance =   198.316677388558645 | exercise(cycle,model) = exerc_1 | exerc_3
[   4 / 132 ] flow_distance =    43.227613298755813 | volume_distance =    10.941402790984396 | sum_distance =    54.169016089740211 | exercise(cycle,model) = exerc_1 | exerc_7
[   4 / 132 ] flow_distance =    33.755521793070130 | volume_distance =    11.043094735819816 | sum_distance =    44.798616528889944 | exercise(cycle,model) = exerc_1 | exerc_2
[   4 / 132 ] flow_distance =    84.887226343198236 | volume_distance =     6.100365618163907 | sum_distance =    90.987591961362142 | exercise(cycle,model) = exerc_1 | exerc_5
