[   1 / 132 ] flow_distance =    80.634440240309516 | volume_distance =    32.864358012794050 | sum_distance =   113.498798253103558 | exercise(cycle,model) = exerc_1 | exerc_4
[   1 / 132 ] flow_distance =    29.735176620724808 | volume_distance =    33.005741219625456 | sum_distance =    62.740917840350264 | exercise(cycle,model) = exerc_1 | exerc_6
[   1 / 132 ] flow_distance =   225.749692931213843 | volume_distance =    55.570367807783398 | sum_distance =   281.320060738997256 | exercise(cycle,model) = exerc_1 | exerc_3
[   1 / 132 ] flow_distance =    84.099547991568016 | volume_distance =    60.103345281054203 | sum_distance =   144.202893272622219 | exercise(cycle,model) = exerc_1 | exerc_7
[   1 / 132 ] flow_distance =    76.223816041497713 | volume_distance =    61.534467308724047 | sum_distance =   137.758283350221745 | exercise(cycle,model) = exerc_1 | exerc_2
[   1 / 132 ] flow_distance =    95.840485879063863 | volume_distance =    30.444725911076219 | sum_distance =   126.285211790140082 | exercise(cycle,model) = exerc_1 | exerc_5
[   1 / 132 ] flow_distance =   121.597728337734992 | volume_distance =    68.520192527792432 | sum_distance =   190.117920865527424 | exercise(cycle,model) = exerc_1 | exerc_1

[   2 / 132 ] flow_distance =    80.772022467459522 | volume_distance =     2.284459422766412 | sum_distance =    83.056481890225939 | exercise(cycle,model) = exerc_1 | exerc_4
[   2 / 132 ] flow_distance =    27.796541690306242 | volume_distance =     0.847957726733686 | sum_distance =    28.644499417039928 | exercise(cycle,model) = exerc_1 | exerc_6
[   2 / 132 ] flow_distance =   188.817925438310141 | volume_distance =     7.193880503332096 | sum_distance =   196.011805941642251 | exercise(cycle,model) = exerc_1 | exerc_3
[   2 / 132 ] flow_distance =    83.576295184468037 | volume_distance =     1.537857603358107 | sum_distance =    85.114152787826143 | exercise(cycle,model) = exerc_1 | exerc_7
[   2 / 132 ] flow_distance =    71.337888340115370 | volume_distance =    16.390950201726248 | sum_distance =    87.728838541841611 | exercise(cycle,model) = exerc_1 | exerc_2
[   2 / 132 ] flow_distance =    80.898217842795646 | volume_distance =     2.356517562193725 | sum_distance =    83.254735404989376 | exercise(cycle,model) = exerc_1 | exerc_5
[   2 / 132 ] flow_distance =    90.035836805080280 | volume_distance =    14.524564587971676 | sum_distance =   104.560401393051961 | exercise(cycle,model) = exerc_1 | exerc_1

[   3 / 132 ] flow_distance =    46.779223678680715 | volume_distance =     5.966231160277330 | sum_distance =    52.745454838958047 | exercise(cycle,model) = exerc_1 | exerc_4
[   3 / 132 ] flow_distance =     8.038690290378447 | volume_distance =     7.449486740499146 | sum_distance =    15.488177030877594 | exercise(cycle,model) = exerc_1 | exerc_6
[   3 / 132 ] flow_distance =   136.343189504889551 | volume_distance =     3.381256772150016 | sum_distance =   139.724446277039561 | exercise(cycle,model) = exerc_1 | exerc_3
[   3 / 132 ] flow_distance =    35.559023330241324 | volume_distance =    10.381140137972352 | sum_distance =    45.940163468213676 | exercise(cycle,model) = exerc_1 | exerc_7
